year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2077,ssp370,15007,Kauai,,2554.127685546875,28,6.997610092163086,56.85346603393555,11.154592514038086,127,238,32.908077239990234,45.901729583740234
2078,ssp370,15007,Kauai,,2023.561279296875,23,5.544003486633301,109.30482482910156,11.386527061462402,171,194,27.505216598510742,46.75292205810547
2079,ssp370,15007,Kauai,,1313.124755859375,8,3.597602128982544,59.33759307861328,7.934866428375244,203,162,19.794967651367188,32.87523651123047
2080,ssp370,15007,Kauai,,982.1881103515625,9,2.6909263134002686,44.479888916015625,6.802155017852783,207,158,16.895214080810547,37.025611877441406
2081,ssp370,15007,Kauai,,1372.9869384765625,9,3.761608123779297,66.20257568359375,7.936550617218018,156,209,18.4438533782959,41.48082733154297
2082,ssp370,15007,Kauai,,2660.35107421875,37,7.288632869720459,62.89501190185547,11.8450345993042,133,232,31.99710464477539,51.18024826049805
2083,ssp370,15007,Kauai,,2560.7841796875,27,7.015847206115723,70.80767059326172,11.135991096496582,135,230,29.41688346862793,45.699005126953125
2084,ssp370,15007,Kauai,,1144.6937255859375,2,3.1361472606658936,27.327861785888672,5.542476177215576,123,242,17.368614196777344,23.011978149414062
2085,ssp370,15007,Kauai,,1224.56640625,9,3.3549764156341553,57.3431396484375,7.326408386230469,187,178,18.640987396240234,34.56511688232422
2086,ssp370,15007,Kauai,,1563.166015625,19,4.282646656036377,48.37971878051758,8.146295547485352,148,217,25.726673126220703,34.40501022338867
2087,ssp370,15007,Kauai,,2354.69873046875,29,6.451229572296143,53.540504455566406,10.521961212158203,135,230,30.185514450073242,41.54578399658203
2088,ssp370,15007,Kauai,,1041.4881591796875,7,2.8533921241760254,60.05459213256836,6.50177526473999,190,175,15.91187572479248,28.442800521850586
2089,ssp370,15007,Kauai,,1632.4954833984375,12,4.472590446472168,94.9482650756836,9.918450355529785,164,201,22.648738861083984,42.02984619140625
