year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2097,ssp370,66010,Guam,,5354.7255859375,82,14.670480728149414,150.22113037109375,21.57432746887207,96,269,54.66783905029297,88.03598022460938
2098,ssp370,66010,Guam,,6044.60400390625,96,16.560558319091797,143.01397705078125,20.46629524230957,58,307,53.058380126953125,92.32128143310547
2099,ssp370,66010,Guam,,10391.5029296875,147,28.469871520996094,224.28384399414062,33.206260681152344,34,331,97.91371154785156,152.7982635498047
2100,ssp370,66010,Guam,,4083.32568359375,48,11.187193870544434,109.31432342529297,17.46649169921875,58,307,51.68465042114258,80.7559814453125
2015,ssp370,69100,Rota,,2473.97314453125,7,6.778008460998535,44.86157989501953,7.5461554527282715,76,289,20.407072067260742,30.553495407104492
2016,ssp370,69100,Rota,,2157.40576171875,14,5.910700798034668,44.156288146972656,8.458633422851562,103,262,23.345264434814453,37.811824798583984
2017,ssp370,69100,Rota,,1469.668212890625,6,4.026488304138184,41.34442901611328,6.592632293701172,143,222,17.194366455078125,28.328407287597656
2018,ssp370,69100,Rota,,2373.53662109375,9,6.502840042114258,44.245765686035156,7.351654052734375,67,298,20.356155395507812,34.73871994018555
2019,ssp370,69100,Rota,,1119.5877685546875,0,3.067363739013672,25.25606918334961,4.713443279266357,116,249,13.423391342163086,20.333454132080078
2020,ssp370,69100,Rota,,2613.60205078125,14,7.160553455352783,53.30914306640625,7.972978115081787,56,309,20.49338150024414,32.29929733276367
2021,ssp370,69100,Rota,,3071.900634765625,29,8.416166305541992,71.09295654296875,11.094120979309082,70,295,30.191524505615234,52.826900482177734
2022,ssp370,69100,Rota,,568.574462890625,1,1.5577383041381836,26.174901962280273,3.5948123931884766,182,183,9.434590339660645,17.833045959472656
2023,ssp370,69100,Rota,,1255.8748779296875,1,3.4407529830932617,25.619752883911133,4.615517616271973,116,249,12.989808082580566,18.004934310913086
2024,ssp370,69100,Rota,,2049.9814453125,4,5.616387367248535,30.821260452270508,6.841509819030762,113,252,19.579410552978516,25.81401824951172
2025,ssp370,69100,Rota,,715.857177734375,0,1.9612525701522827,16.832937240600586,3.278486967086792,190,175,9.51150131225586,12.833995819091797
2026,ssp370,69100,Rota,,1616.00244140625,5,4.427403926849365,48.47981643676758,6.50675630569458,139,226,19.02015495300293,27.35888671875
2027,ssp370,69100,Rota,,1627.694580078125,11,4.459437370300293,40.4388427734375,7.154855251312256,136,229,20.5338134765625,31.842987060546875
2028,ssp370,69100,Rota,,1459.3505859375,5,3.998220682144165,35.368919372558594,6.10948371887207,105,260,16.36216163635254,26.990991592407227
2029,ssp370,69100,Rota,,1244.69091796875,3,3.410112142562866,36.66144561767578,5.474569320678711,143,222,14.82956314086914,25.022375106811523
2030,ssp370,69100,Rota,,1715.954345703125,1,4.701244831085205,29.502220153808594,5.492628574371338,102,263,15.251542091369629,20.28584861755371
2031,ssp370,69100,Rota,,2413.41650390625,9,6.612100124359131,59.249351501464844,7.544700622558594,75,290,19.415037155151367,33.91072463989258
2032,ssp370,69100,Rota,,1786.7080078125,4,4.895090579986572,32.810325622558594,5.741981029510498,76,289,16.415393829345703,24.41172218322754
2033,ssp370,69100,Rota,,2045.843017578125,7,5.605049133300781,71.87007141113281,7.932602882385254,82,283,19.057693481445312,29.8072452545166
2034,ssp370,69100,Rota,,1145.6331787109375,5,3.138720989227295,37.495296478271484,5.8816633224487305,145,220,14.328211784362793,29.94696044921875
2035,ssp370,69100,Rota,,1524.1837158203125,3,4.175845623016357,86.10717010498047,6.9680023193359375,112,253,15.075190544128418,22.664451599121094
2036,ssp370,69100,Rota,,2673.805419921875,7,7.325494289398193,93.83250427246094,9.066518783569336,73,292,20.18940544128418,28.98735809326172
2037,ssp370,69100,Rota,,1870.4246826171875,9,5.124451160430908,37.212806701660156,6.696690082550049,91,274,18.434131622314453,30.302396774291992
2038,ssp370,69100,Rota,,1402.5234375,6,3.8425300121307373,48.467247009277344,6.407850742340088,132,233,17.579286575317383,26.307891845703125
2039,ssp370,69100,Rota,,2077.060791015625,4,5.690577507019043,33.01123809814453,6.272577285766602,77,288,18.075702667236328,25.540884017944336
2040,ssp370,69100,Rota,,1623.8546142578125,10,4.448916912078857,41.84001541137695,7.163295745849609,96,269,20.13981819152832,36.64786148071289
2041,ssp370,69100,Rota,,2672.100341796875,13,7.320822715759277,41.44999313354492,7.576620101928711,66,299,22.71980094909668,30.218751907348633
2042,ssp370,69100,Rota,,1572.9517822265625,2,4.309456825256348,49.458595275878906,6.418903350830078,125,240,19.675050735473633,24.340911865234375
2043,ssp370,69100,Rota,,1813.1435546875,10,4.9675164222717285,40.550537109375,7.145571708679199,93,272,19.999902725219727,29.559621810913086
2044,ssp370,69100,Rota,,2950.122802734375,8,8.082528114318848,37.52511978149414,7.3695292472839355,50,315,21.163745880126953,30.194644927978516
2045,ssp370,69100,Rota,,2309.457275390625,7,6.327280044555664,34.52337646484375,7.02366304397583,97,268,19.422147750854492,27.155115127563477
2046,ssp370,69100,Rota,,2612.90478515625,14,7.1586432456970215,64.9111557006836,8.531258583068848,83,282,23.68813133239746,35.32950210571289
2047,ssp370,69100,Rota,,1263.8724365234375,2,3.4626641273498535,58.94137954711914,5.631073474884033,115,250,13.96048641204834,18.25514793395996
2048,ssp370,69100,Rota,,2043.62158203125,3,5.598963260650635,36.62846374511719,6.793910026550293,90,275,19.205753326416016,25.190486907958984
2049,ssp370,69100,Rota,,1251.856201171875,4,3.4297430515289307,58.17044448852539,5.918549060821533,133,232,13.1766996383667,25.79043960571289
2050,ssp370,69100,Rota,,1141.51806640625,1,3.1274466514587402,34.32784652709961,5.326961994171143,155,210,15.707131385803223,22.16071319580078
2051,ssp370,69100,Rota,,3306.66650390625,23,9.05936050415039,70.44918060302734,8.902709007263184,45,320,26.682737350463867,38.91178512573242
2052,ssp370,69100,Rota,,3451.49169921875,18,9.456141471862793,74.18450927734375,8.880643844604492,50,315,25.053831100463867,33.5959587097168
2053,ssp370,69100,Rota,,2197.459228515625,4,6.0204362869262695,59.79872131347656,6.832682132720947,86,279,17.635526657104492,25.72132682800293
2054,ssp370,69100,Rota,,1539.1832275390625,4,4.216940402984619,30.946475982666016,6.386530876159668,136,229,17.993085861206055,26.09723663330078
2055,ssp370,69100,Rota,,2595.612060546875,9,7.111266136169434,83.14896392822266,8.916779518127441,73,292,20.454465866088867,34.633296966552734
2056,ssp370,69100,Rota,,1765.2518310546875,6,4.836306571960449,46.99542236328125,6.939740180969238,121,244,17.71129608154297,26.90488052368164
2057,ssp370,69100,Rota,,2506.96142578125,8,6.868387699127197,36.97011184692383,7.319535255432129,83,282,20.950393676757812,31.818737030029297
2058,ssp370,69100,Rota,,1141.9193115234375,0,3.1285459995269775,20.937685012817383,4.6338372230529785,144,221,13.420674324035645,17.154537200927734
2059,ssp370,69100,Rota,,2285.90380859375,6,6.262750148773193,39.775604248046875,6.666242599487305,76,289,17.40763282775879,28.546783447265625
2060,ssp370,69100,Rota,,2449.36279296875,9,6.710583209991455,36.571449279785156,7.13649845123291,70,295,18.962696075439453,31.219453811645508
2061,ssp370,69100,Rota,,2232.20556640625,10,6.115631580352783,52.7061767578125,7.48901891708374,56,309,19.194400787353516,32.58851623535156
2062,ssp370,69100,Rota,,1115.659912109375,5,3.0566024780273438,50.19453048706055,5.7926130294799805,130,235,14.223158836364746,26.461421966552734
2063,ssp370,69100,Rota,,2365.7666015625,5,6.4815521240234375,39.25794982910156,6.56358003616333,64,301,18.232797622680664,26.368473052978516
2064,ssp370,69100,Rota,,2975.12939453125,8,8.151039123535156,71.41036987304688,8.713810920715332,51,314,20.426971435546875,35.341243743896484
2065,ssp370,69100,Rota,,1541.3209228515625,1,4.22279691696167,32.226776123046875,5.413177967071533,105,260,14.720614433288574,21.47754669189453
2066,ssp370,69100,Rota,,879.7533569335938,2,2.410283088684082,40.04205322265625,4.604511737823486,171,194,11.955718040466309,20.317047119140625
2067,ssp370,69100,Rota,,1655.972900390625,6,4.536911964416504,85.22189331054688,7.438683986663818,116,249,16.84766960144043,32.785362243652344
2068,ssp370,69100,Rota,,3466.815673828125,17,9.498125076293945,45.27289581298828,7.78586483001709,25,340,24.596567153930664,32.0351448059082
2069,ssp370,69100,Rota,,2342.015869140625,16,6.416481971740723,44.717994689941406,8.7989501953125,100,265,23.972702026367188,39.83561706542969
2070,ssp370,69100,Rota,,2026.4072265625,5,5.551800727844238,57.20125961303711,7.106476306915283,84,281,17.660804748535156,33.41460418701172
2071,ssp370,69100,Rota,,2935.27490234375,17,8.041849136352539,48.086952209472656,8.378090858459473,52,313,24.12306785583496,36.5295295715332
2072,ssp370,69100,Rota,,1297.8966064453125,5,3.5558810234069824,47.082088470458984,6.178431510925293,132,233,16.311399459838867,26.17566680908203
2073,ssp370,69100,Rota,,2250.29736328125,6,6.16519832611084,47.766822814941406,6.959833145141602,78,287,19.961332321166992,26.684364318847656
2074,ssp370,69100,Rota,,2620.197265625,8,7.178622722625732,45.630760192871094,7.003392696380615,48,317,19.618762969970703,30.12718963623047
2075,ssp370,69100,Rota,,2500.464111328125,12,6.850586414337158,89.92596435546875,8.698163986206055,66,299,20.977392196655273,30.61858558654785
2076,ssp370,69100,Rota,,1053.68701171875,0,2.8868136405944824,23.164382934570312,4.291323661804199,117,248,12.316816329956055,17.65753173828125
2077,ssp370,69100,Rota,,2655.365234375,4,7.274973392486572,65.25949096679688,6.878671169281006,59,306,17.47908592224121,24.9943904876709
