year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2097,historical,15005,Kalawao,,26.35213279724121,21.755874633789062,29.363632202148438,7.607757568359375,1.7778412103652954,0,0,5968.5283203125,3048.528564453125,0.0
2098,historical,15005,Kalawao,,26.662567138671875,22.905242919921875,29.630035400390625,6.72479248046875,1.7036863565444946,0,0,6081.8369140625,3161.8369140625,0.0
2099,historical,15005,Kalawao,,27.71463966369629,23.395416259765625,32.04051208496094,8.645095825195312,1.982706069946289,0,43,6465.84423828125,3545.843994140625,0.0
2100,historical,15005,Kalawao,,26.314634323120117,22.875503540039062,29.311981201171875,6.4364776611328125,1.7160841226577759,0,0,5954.8427734375,3034.8427734375,0.0
2015,historical,15007,Kauai,,24.677276611328125,20.065053939819336,26.901611328125,6.836557388305664,1.3434808254241943,0,0,5357.2060546875,2437.205810546875,0.0
2016,historical,15007,Kauai,,24.62428855895996,20.64027976989746,27.095462799072266,6.455183029174805,1.2912402153015137,0,0,5337.86669921875,2417.8662109375,0.0
2017,historical,15007,Kauai,,24.652814865112305,19.58663558959961,27.099552154541016,7.512916564941406,1.6890065670013428,0,0,5348.27734375,2428.27734375,0.0
2018,historical,15007,Kauai,,24.96584701538086,20.769487380981445,27.294565200805664,6.525077819824219,1.2702730894088745,0,0,5462.533203125,2542.533447265625,0.0
2019,historical,15007,Kauai,,24.49285125732422,19.479896545410156,27.12268829345703,7.642791748046875,1.797132134437561,0,0,5289.8916015625,2369.8916015625,0.0
2020,historical,15007,Kauai,,24.83849334716797,21.35112190246582,27.83774757385254,6.486625671386719,1.1849925518035889,0,0,5416.0498046875,2496.0498046875,0.0
2021,historical,15007,Kauai,,24.699914932250977,19.996381759643555,26.99943733215332,7.003055572509766,1.3905848264694214,0,0,5365.46826171875,2445.46826171875,0.0
2022,historical,15007,Kauai,,23.94102668762207,19.34461784362793,25.967201232910156,6.622583389282227,1.423365831375122,0,0,5088.474609375,2168.474609375,0.0
2023,historical,15007,Kauai,,23.93963050842285,21.46782684326172,25.470497131347656,4.0026702880859375,0.9962743520736694,0,0,5087.9638671875,2167.964111328125,0.0
2024,historical,15007,Kauai,,23.661869049072266,20.604522705078125,25.35818862915039,4.753665924072266,0.9850953817367554,0,0,4986.58203125,2066.582275390625,0.0
2025,historical,15007,Kauai,,24.11577033996582,20.01268768310547,26.79926300048828,6.7865753173828125,1.4104951620101929,0,0,5152.255859375,2232.25634765625,0.0
2026,historical,15007,Kauai,,23.624340057373047,20.966169357299805,25.237831115722656,4.271661758422852,0.8972082734107971,0,0,4972.88330078125,2052.883544921875,0.0
2027,historical,15007,Kauai,,24.3359317779541,20.12755012512207,27.12917137145996,7.001621246337891,1.600817084312439,0,0,5232.615234375,2312.61572265625,0.0
2028,historical,15007,Kauai,,23.95415496826172,19.844675064086914,26.521785736083984,6.67711067199707,1.4766883850097656,0,0,5093.26708984375,2173.267333984375,0.0
2029,historical,15007,Kauai,,23.998586654663086,19.706459045410156,26.19388771057129,6.487428665161133,1.3610032796859741,0,0,5109.484375,2189.484375,0.0
2030,historical,15007,Kauai,,24.20148468017578,21.379329681396484,25.559383392333984,4.1800537109375,0.8088258504867554,0,0,5183.54296875,2263.54248046875,0.0
