cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
72079,2057,Lajas,2,,,,53.5176146499754
72059,2057,Guayanilla,2,,,,50.60710756797491
78030,2058,St. Thomas,8,,,,77.07039900652067
72151,2058,Yabucoa,17,,,,97.29888195127953
72133,2058,Santa Isabel,3,,,,86.484375
72043,2058,Coamo,4,,,,88.51156880536418
72113,2058,Ponce,4,,,,88.21785033218505
78010,2058,St. Croix,16,,,,93.8502898929626
78020,2058,St. John,6,,,,73.76848355991635
72057,2058,Guayama,5,,,,89.17840912586122
72035,2058,Cayey,9,,,,92.26612481545276
72125,2058,San Germán,3,,,,78.26278566375493
72079,2058,Lajas,11,,,,87.60434608759843
72059,2058,Guayanilla,3,,,,82.69807109682579
78030,2059,St. Thomas,6,,,,68.79681925135336
72151,2059,Yabucoa,11,,,,82.78485636072836
72133,2059,Santa Isabel,6,,,,71.52752253014272
72043,2059,Coamo,6,,,,74.81778362604577
72113,2059,Ponce,7,,,,72.35633189283958
78010,2059,St. Croix,11,,,,77.37385907511073
78020,2059,St. John,4,,,,66.02508304625985
72057,2059,Guayama,7,,,,73.78448726624016
72035,2059,Cayey,8,,,,78.5412886011319
72125,2059,San Germán,3,,,,63.46396138348918
72079,2059,Lajas,5,,,,66.92213644192914
72059,2059,Guayanilla,6,,,,67.99077071542816
78030,2060,St. Thomas,4,,,,53.286401943897644
72151,2060,Yabucoa,8,,,,62.39252525990404
72133,2060,Santa Isabel,5,,,,53.31320935346949
72043,2060,Coamo,5,,,,56.639884888656496
72113,2060,Ponce,4,,,,55.51550677442175
78010,2060,St. Croix,7,,,,57.832290769562015
78020,2060,St. John,4,,,,51.263096126045774
72057,2060,Guayama,6,,,,54.60259865588091
72035,2060,Cayey,7,,,,59.086568036417326
72125,2060,San Germán,3,,,,49.145181010088585
72079,2060,Lajas,3,,,,52.53687100147638
72059,2060,Guayanilla,4,,,,52.543815552718996
78030,2061,St. Thomas,14,,,,94.4367079847441
72151,2061,Yabucoa,30,,,,115.48903097317914
72133,2061,Santa Isabel,10,,,,99.10192774975394
72043,2061,Coamo,14,,,,102.01288178211122
72113,2061,Ponce,12,,,,98.78750538262796
78010,2061,St. Croix,30,,,,113.32111989419292
